lang,label,gen
buginese,positive,x
buginese,neutral,x
buginese,negative,x
buginese,positive,x
buginese,neutral,neutral
buginese,negative,x
buginese,neutral,x
buginese,negative,x
buginese,positive,x
buginese,positive,x
buginese,neutral,x
buginese,negative,x
buginese,negative,neutral
buginese,neutral,x
buginese,negative,x
buginese,negative,x
buginese,neutral,x
buginese,negative,x
buginese,neutral,x
buginese,positive,x
buginese,neutral,x
buginese,negative,x
buginese,positive,x
buginese,neutral,positive
buginese,neutral,x
buginese,positive,x
buginese,positive,positive
buginese,negative,x
buginese,positive,x
buginese,positive,x
buginese,neutral,x
buginese,neutral,neutral
buginese,negative,x
buginese,positive,x
buginese,negative,x
buginese,negative,x
buginese,negative,x
buginese,negative,x
buginese,positive,x
buginese,positive,x
buginese,positive,positive
buginese,negative,x
buginese,negative,x
buginese,negative,x
buginese,neutral,x
buginese,neutral,neutral
buginese,neutral,x
buginese,neutral,x
buginese,neutral,x
buginese,positive,neutral
javanese,positive,positive
javanese,neutral,neutral
javanese,negative,x
javanese,positive,positive
javanese,neutral,neutral
javanese,negative,negative
javanese,neutral,neutral
javanese,negative,x
javanese,positive,neutral
javanese,positive,positive
javanese,neutral,neutral
javanese,negative,positive
javanese,negative,negative
javanese,neutral,x
javanese,negative,negative
javanese,negative,neutral
javanese,neutral,x
javanese,negative,negative
javanese,neutral,negative
javanese,positive,positive
javanese,neutral,neutral
javanese,negative,x
javanese,positive,positive
javanese,neutral,neutral
javanese,neutral,neutral
javanese,positive,positive
javanese,positive,positive
javanese,negative,negative
javanese,positive,positive
javanese,positive,positive
javanese,neutral,neutral
javanese,neutral,neutral
javanese,negative,negative
javanese,positive,neutral
javanese,negative,negative
javanese,negative,negative
javanese,negative,negative
javanese,negative,negative
javanese,positive,positive
javanese,positive,positive
javanese,positive,positive
javanese,negative,negative
javanese,negative,negative
javanese,negative,negative
javanese,neutral,neutral
javanese,neutral,neutral
javanese,neutral,neutral
javanese,neutral,positive
javanese,neutral,neutral
javanese,positive,positive
Indonesian,positive,positive
Indonesian,neutral,neutral
Indonesian,negative,negative
Indonesian,positive,positive
Indonesian,neutral,neutral
Indonesian,negative,negative
Indonesian,neutral,neutral
Indonesian,negative,negative
Indonesian,positive,positive
Indonesian,positive,positive
Indonesian,neutral,positive
Indonesian,negative,negative
Indonesian,negative,negative
Indonesian,neutral,neutral
Indonesian,negative,negative
Indonesian,negative,negative
Indonesian,neutral,neutral
Indonesian,negative,negative
Indonesian,neutral,negative
Indonesian,positive,positive
Indonesian,neutral,neutral
Indonesian,negative,negative
Indonesian,positive,positive
Indonesian,neutral,positive
Indonesian,neutral,neutral
Indonesian,positive,positive
Indonesian,positive,positive
Indonesian,negative,negative
Indonesian,positive,positive
Indonesian,positive,positive
Indonesian,neutral,neutral
Indonesian,neutral,neutral
Indonesian,negative,negative
Indonesian,positive,neutral
Indonesian,negative,negative
Indonesian,negative,negative
Indonesian,negative,negative
Indonesian,negative,negative
Indonesian,positive,positive
Indonesian,positive,positive
Indonesian,positive,positive
Indonesian,negative,negative
Indonesian,negative,negative
Indonesian,negative,negative
Indonesian,neutral,neutral
Indonesian,neutral,neutral
Indonesian,neutral,neutral
Indonesian,neutral,positive
Indonesian,neutral,neutral
Indonesian,positive,positive
English,positive,positive
English,neutral,neutral
English,negative,negative
English,positive,positive
English,neutral,neutral
English,negative,negative
English,neutral,neutral
English,negative,negative
English,positive,positive
English,positive,positive
English,neutral,positive
English,negative,positive
English,negative,negative
English,neutral,neutral
English,negative,negative
English,negative,negative
English,neutral,neutral
English,negative,negative
English,neutral,negative
English,positive,positive
English,neutral,positive
English,negative,negative
English,positive,positive
English,neutral,positive
English,neutral,neutral
English,positive,positive
English,positive,positive
English,negative,negative
English,positive,positive
English,positive,positive
English,neutral,positive
English,neutral,neutral
English,negative,negative
English,positive,neutral
English,negative,negative
English,negative,negative
English,negative,negative
English,negative,negative
English,positive,positive
English,positive,positive
English,positive,positive
English,negative,negative
English,negative,negative
English,negative,negative
English,neutral,neutral
English,neutral,neutral
English,neutral,neutral
English,neutral,positive
English,neutral,positive
English,positive,positive
