index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,cardiffnlp/tweet_topic_single,0,eng,0.225654604295381,0.225654604295381,0.225654604295381,0.225654604295381,0.31962894523071084,0.26164232369035606,0.1575682437508723,0.6385591099806252,0.225654604295381,0.22025400441585674
1,cardiffnlp/tweet_topic_single,1,eng,0.33598117093262725,0.33598117093262725,0.33598117093262725,0.33598117093262725,0.31573144919547463,0.22166959951244816,0.15041761707972992,0.5647566791689433,0.33598117093262725,0.24489966773012814
2,SetFit/wnli,0,eng,0.43661971830985913,0.43661971830985913,0.43661971830985913,0.43661971830985913,0.21830985915492956,0.5,0.30392156862745096,0.19063677841698073,0.43661971830985913,0.2653962993648163
3,SetFit/wnli,1,eng,0.43661971830985913,0.43661971830985913,0.43661971830985913,0.43661971830985913,0.21830985915492956,0.5,0.30392156862745096,0.19063677841698073,0.43661971830985913,0.2653962993648163
4,SetFit/wnli,2,eng,0.43661971830985913,0.43661971830985913,0.43661971830985913,0.43661971830985913,0.21830985915492956,0.5,0.30392156862745096,0.19063677841698073,0.43661971830985913,0.2653962993648163
5,SetFit/qnli,0,eng,0.49807797913234486,0.49807797913234486,0.49807797913234486,0.49807797913234486,0.5451647272149818,0.5032786557826295,0.35094947963462114,0.5456927861651578,0.49807797913234486,0.3476120780696978
6,SetFit/qnli,1,eng,0.49478308621636463,0.49478308621636463,0.49478308621636463,0.49478308621636463,0.5806776556776556,0.5001771395006744,0.3316473821893913,0.5816063307002352,0.49478308621636463,0.32808124416138407
7,SetFit/qnli,2,eng,0.49716273110012815,0.49716273110012815,0.49716273110012815,0.49716273110012815,0.6729331251148264,0.5025234503745332,0.3374818470243027,0.6748454343987774,0.49716273110012815,0.3339691057265869
8,sst2,0,eng,0.6215596330275229,0.6215596330275229,0.6215596330275229,0.6215596330275229,0.7146934723256391,0.6274522185737139,0.5814302587405671,0.7173735828090382,0.6215596330275229,0.5790522217457844
9,sst2,1,eng,0.9380733944954128,0.9380733944954128,0.9380733944954128,0.9380733944954128,0.9380934335459694,0.938010440346889,0.9380469962897666,0.9380774023055243,0.9380733944954128,0.9380704613614521
10,sst2,2,eng,0.5057339449541285,0.5057339449541285,0.5057339449541285,0.5057339449541285,0.3966143682906689,0.4967058179675002,0.3399682129905254,0.398649232191153,0.5057339449541285,0.3460374388747763
