index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,cardiffnlp/tweet_topic_single,0,eng,0.3801117975875257,0.3801117975875257,0.3801117975875257,0.3801117975875257,0.3963992467043314,0.23389544767374512,0.16243421256929927,0.5976829457603731,0.3801117975875257,0.27974693932890965
1,cardiffnlp/tweet_topic_single,1,eng,0.3836422477199176,0.3836422477199176,0.3836422477199176,0.3836422477199176,0.3608368899293339,0.2603124370853915,0.20646967091727422,0.5887357654007735,0.3836422477199176,0.27342736612042934
2,SetFit/wnli,0,eng,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.21428571428571427,0.4838709677419355,0.297029702970297,0.18712273641851104,0.4225352112676056,0.2593780504811044
3,SetFit/wnli,1,eng,0.4788732394366197,0.4788732394366197,0.4788732394366197,0.4788732394366197,0.5013586956521738,0.5012096774193548,0.4721719911593329,0.5094534598897733,0.4788732394366197,0.46463308684738525
4,SetFit/wnli,2,eng,0.43661971830985913,0.43661971830985913,0.43661971830985913,0.43661971830985913,0.46641791044776115,0.49274193548387096,0.34137291280148424,0.47067479503889004,0.43661971830985913,0.3096239776320259
5,SetFit/qnli,0,eng,0.5004576240161084,0.5004576240161084,0.5004576240161084,0.5004576240161084,0.5475066625548308,0.5055340176203872,0.3629630911520675,0.548047245470855,0.5004576240161084,0.35976680374506265
6,SetFit/qnli,1,eng,0.4885593995972909,0.4885593995972909,0.4885593995972909,0.4885593995972909,0.47393197097099155,0.4932014087516431,0.37614474388930413,0.47374823277875144,0.4885593995972909,0.3732846901218306
7,SetFit/qnli,2,eng,0.5127219476478125,0.5127219476478125,0.5127219476478125,0.5127219476478125,0.5259920695175334,0.516061854459559,0.4632194462087972,0.5262239135182184,0.5127219476478125,0.46145895941862125
8,sst2,0,eng,0.6536697247706422,0.6536697247706422,0.6536697247706422,0.6536697247706422,0.691679467485919,0.6575945103982488,0.6389620075458454,0.693332064995279,0.6536697247706422,0.6376249423435912
9,sst2,1,eng,0.9036697247706422,0.9036697247706422,0.9036697247706422,0.9036697247706422,0.906247347423818,0.9029637113749264,0.9033769523005488,0.9057318228931829,0.9036697247706422,0.9034745431239133
10,sst2,2,eng,0.6536697247706422,0.6536697247706422,0.6536697247706422,0.6536697247706422,0.6675211744776962,0.6561210743453734,0.6484753346468255,0.6684932060360859,0.6536697247706422,0.6476912757602116
