0,1,2,3,4,5,falcon-40b-lang-10_correct,falcon-40b-lang-10_choiceA_probs,falcon-40b-lang-10_choiceB_probs,falcon-40b-lang-10_choiceC_probs,falcon-40b-lang-10_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,True,0.359,0.3096,0.1587,0.1729
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,False,0.152,0.1682,0.04727,0.6323
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.2208,0.6416,0.05435,0.0832
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.5083,0.2515,0.1777,0.0626
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,True,0.74,0.09283,0.1249,0.04224
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,True,0.2764,0.2145,0.1208,0.3884
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,True,0.1825,0.006638,0.005863,0.805
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.4207,0.1603,0.3726,0.04645
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.10156,0.8145,0.02887,0.055
A wave transfers,amplitude,wavelength,frequency,energy,D,True,0.1411,0.1757,0.2585,0.4246
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.316,0.495,0.101,0.08777
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.0638,0.0227,0.896,0.01733
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,False,0.5654,0.2822,0.0421,0.1101
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.57,0.316,0.0902,0.02376
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,True,0.2922,0.4302,0.1621,0.11536
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,True,0.5415,0.3323,0.1148,0.011505
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,True,0.5806,0.08875,0.2421,0.0884
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,False,0.0758,0.313,0.0729,0.5386
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.3713,0.3237,0.1572,0.1477
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.722,0.09924,0.1649,0.01362
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.2727,0.2042,0.1809,0.342
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.86,0.0896,0.03114,0.0194
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.3748,0.428,0.09735,0.10004
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.21,0.5845,0.0788,0.1268
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.5903,0.154,0.1931,0.06247
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,True,0.3708,0.28,0.2147,0.1344
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.381,0.3389,0.1242,0.1558
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,False,0.3032,0.4846,0.1449,0.06714
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,True,0.1155,0.3103,0.4307,0.1437
