category,model,probability
stem,falcon-7b-lang-3,0.225
stem,falcon-7b-lang-20,0.033
stem,falcon-7b-lang-45,0.103
stem,falcon-7b-lang-5,0.45
stem,falcon-7b-lang-1,0.493
stem,falcon-7b-lang-2,0.396
stem,falcon-7b-lang-10,0.004
stem,falcon-40b-lang-1,0.5
stem,falcon-40b-lang-10,0.078
stem,falcon-40b-lang-45,0.027
other,falcon-7b-lang-3,0.276
other,falcon-7b-lang-20,0.252
other,falcon-7b-lang-45,0.466
other,falcon-7b-lang-5,0.341
other,falcon-7b-lang-1,0.49
other,falcon-7b-lang-2,0.227
other,falcon-7b-lang-10,0.369
other,falcon-40b-lang-1,0.515
other,falcon-40b-lang-10,0.28
other,falcon-40b-lang-45,0.043
sciences,falcon-7b-lang-3,0.496
sciences,falcon-7b-lang-20,0.086
sciences,falcon-7b-lang-45,0.51
sciences,falcon-7b-lang-5,0.32
sciences,falcon-7b-lang-1,0.555
sciences,falcon-7b-lang-2,0.502
sciences,falcon-7b-lang-10,0.553
sciences,falcon-40b-lang-1,0.544
sciences,falcon-40b-lang-10,0.495
sciences,falcon-40b-lang-45,0.508
humanities,falcon-7b-lang-3,0.263
humanities,falcon-7b-lang-20,0.362
humanities,falcon-7b-lang-45,0.033
humanities,falcon-7b-lang-5,0.101
humanities,falcon-7b-lang-1,0.498
humanities,falcon-7b-lang-2,0.49
humanities,falcon-7b-lang-10,0.424
humanities,falcon-40b-lang-1,0.542
humanities,falcon-40b-lang-10,0.385
humanities,falcon-40b-lang-45,0.001
social_sciences,falcon-7b-lang-3,0.424
social_sciences,falcon-7b-lang-20,0.026
social_sciences,falcon-7b-lang-45,0.283
social_sciences,falcon-7b-lang-5,0.306
social_sciences,falcon-7b-lang-1,0.479
social_sciences,falcon-7b-lang-2,0.32
social_sciences,falcon-7b-lang-10,0.238
social_sciences,falcon-40b-lang-1,0.502
social_sciences,falcon-40b-lang-10,0.046
social_sciences,falcon-40b-lang-45,0.0
