level,model,probability
other,falcon-7b-lang-3,0.191
other,falcon-7b-lang-20,0.308
other,falcon-7b-lang-45,0.08
other,falcon-7b-lang-5,0.196
other,falcon-7b-lang-1,0.518
other,falcon-7b-lang-2,0.172
other,falcon-7b-lang-10,0.386
other,falcon-40b-lang-1,0.528
other,falcon-40b-lang-10,0.291
other,falcon-40b-lang-45,0.0
college,falcon-7b-lang-3,0.358
college,falcon-7b-lang-20,0.302
college,falcon-7b-lang-45,0.084
college,falcon-7b-lang-5,0.395
college,falcon-7b-lang-1,0.503
college,falcon-7b-lang-2,0.501
college,falcon-7b-lang-10,0.179
college,falcon-40b-lang-1,0.512
college,falcon-40b-lang-10,0.102
college,falcon-40b-lang-45,0.139
elementary,falcon-7b-lang-3,0.384
elementary,falcon-7b-lang-20,0.528
elementary,falcon-7b-lang-45,0.058
elementary,falcon-7b-lang-5,0.447
elementary,falcon-7b-lang-1,0.531
elementary,falcon-7b-lang-2,0.449
elementary,falcon-7b-lang-10,0.05
elementary,falcon-40b-lang-1,0.538
elementary,falcon-40b-lang-10,0.35
elementary,falcon-40b-lang-45,0.129
high_school,falcon-7b-lang-3,0.138
high_school,falcon-7b-lang-20,0.002
high_school,falcon-7b-lang-45,0.327
high_school,falcon-7b-lang-5,0.323
high_school,falcon-7b-lang-1,0.516
high_school,falcon-7b-lang-2,0.208
high_school,falcon-7b-lang-10,0.147
high_school,falcon-40b-lang-1,0.507
high_school,falcon-40b-lang-10,0.055
high_school,falcon-40b-lang-45,0.0
professional,falcon-7b-lang-3,0.38
professional,falcon-7b-lang-20,0.481
professional,falcon-7b-lang-45,0.467
professional,falcon-7b-lang-5,0.285
professional,falcon-7b-lang-1,0.48
professional,falcon-7b-lang-2,0.184
professional,falcon-7b-lang-10,0.201
professional,falcon-40b-lang-1,0.486
professional,falcon-40b-lang-10,0.297
professional,falcon-40b-lang-45,0.053
